colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#FF7F00	24	0.0100104505020642	4	4	4	3
#FF7F00	25	0.0105685563083262	4	4	4	3
#FF7F00	26	0.01102708493844	4	4	4	3
#FF7F00	27	0.0119566663369958	4	4	4	3
#FF7F00	28	0.0128121854086356	4	4	4	3
#FF7F00	29	0.0135652600087775	4	4	4	3
#FF7F00	30	0.0146932358267359	4	4	4	3
#377EB8	1	0.00954588242118319	1	1	1	4
#377EB8	2	0.0100373262387445	1	1	1	4
#377EB8	3	0.00879114453292811	1	1	1	4
#377EB8	4	0.00741766832526455	1	1	1	4
#377EB8	5	0.00741253807754309	1	1	1	4
#377EB8	6	0.00850026914187757	1	1	1	4
#377EB8	7	0.00835766796504819	1	1	1	4
#377EB8	8	0.00656245444778837	1	1	1	4
#377EB8	9	0.00760664365892374	1	1	1	4
#377EB8	10	0.00812196885366768	1	1	1	4
#377EB8	11	0.00826575959295846	1	1	1	4
#377EB8	12	0.00905853474788106	1	1	1	4
#377EB8	13	0.0106308338287505	1	1	1	4
#377EB8	14	0.0105349161264082	1	1	1	4
#377EB8	15	0.0119242840296069	1	1	1	4
#377EB8	16	0.0130192368390863	1	1	1	4
#377EB8	17	0.0140730418101096	1	1	1	4
#377EB8	18	0.0132828388535523	1	1	1	4
#377EB8	19	0.0126202201796793	1	1	1	4
#377EB8	20	0.0124608726367367	1	1	1	4
#377EB8	21	0.0127586572114061	1	1	1	4
#377EB8	22	0.0126448398438656	1	1	1	4
#377EB8	23	0.0128308241163031	1	1	1	4
#377EB8	24	0.0130331855257267	1	1	1	4
#377EB8	25	0.0136492974189421	1	1	1	4
#377EB8	26	0.0140904682016379	1	1	1	4
#377EB8	27	0.0148306918007209	1	1	1	4
#377EB8	28	0.016099586287462	1	1	1	4
#377EB8	29	0.0157674871005852	1	1	1	4
#377EB8	30	0.0161197836811876	1	1	1	4
#4DAF4A	1	0.0182709973204635	2	2	2	4
#4DAF4A	2	0.0178746532800801	2	2	2	4
#4DAF4A	3	0.0115841238397163	2	2	2	4
#4DAF4A	4	0.0102623788399075	2	2	2	4
#4DAF4A	5	0.0106000369054122	2	2	2	4
#4DAF4A	6	0.0100245210235583	2	2	2	4
#4DAF4A	7	0.0106740508562783	2	2	2	4
#4DAF4A	8	0.0105837801590532	2	2	2	4
#4DAF4A	9	0.0106261576318149	2	2	2	4
#4DAF4A	10	0.010705812324638	2	2	2	4
#4DAF4A	11	0.0103935922584263	2	2	2	4
#4DAF4A	12	0.0103322846756825	2	2	2	4
#4DAF4A	13	0.0102348347908577	2	2	2	4
#4DAF4A	14	0.0110089898828326	2	2	2	4
#4DAF4A	15	0.0110899516229871	2	2	2	4
#4DAF4A	16	0.0124298065784121	2	2	2	4
#4DAF4A	17	0.0135921079422785	2	2	2	4
#4DAF4A	18	0.0148479695209353	2	2	2	4
#4DAF4A	19	0.0165895987763798	2	2	2	4
#4DAF4A	20	0.0183031600326103	2	2	2	4
#4DAF4A	21	0.0194294272518415	2	2	2	4
#4DAF4A	22	0.0195283388665377	2	2	2	4
#4DAF4A	23	0.0215319975741531	2	2	2	4
#4DAF4A	24	0.0216870194727084	2	2	2	4
#4DAF4A	25	0.0222124689113492	2	2	2	4
#4DAF4A	26	0.0237121086807584	2	2	2	4
#4DAF4A	27	0.0248024485876947	2	2	2	4
#4DAF4A	28	0.0262034946346774	2	2	2	4
#4DAF4A	29	0.0272025925961607	2	2	2	4
#4DAF4A	30	0.0270812940840004	2	2	2	4
