linetype	x	showSelectedlegendlinetype	PANEL	group
solid	2.19597989949749	prediction	3	568
solid	2.22110552763819	prediction	3	569
solid	2.24623115577889	prediction	3	570
solid	2.2713567839196	prediction	3	571
solid	2.2964824120603	prediction	3	572
solid	2.32160804020101	prediction	3	573
solid	2.34673366834171	prediction	3	574
solid	2.37185929648241	prediction	3	575
solid	2.39698492462312	prediction	3	576
solid	2.42211055276382	prediction	3	577
solid	2.44723618090452	prediction	3	578
solid	2.47236180904523	prediction	3	579
solid	2.49748743718593	prediction	3	580
solid	2.52261306532663	prediction	3	581
solid	2.54773869346734	prediction	3	582
solid	2.57286432160804	prediction	3	583
solid	2.59798994974874	prediction	3	584
solid	2.62311557788945	prediction	3	585
solid	2.64824120603015	prediction	3	586
solid	2.67336683417085	prediction	3	587
solid	2.69849246231156	prediction	3	588
solid	2.72361809045226	prediction	3	589
solid	2.74874371859296	prediction	3	590
solid	2.77386934673367	prediction	3	591
solid	2.79899497487437	prediction	3	592
solid	2.82412060301508	prediction	3	593
solid	2.84924623115578	prediction	3	594
solid	2.87437185929648	prediction	3	595
solid	2.89949748743719	prediction	3	596
solid	2.92462311557789	prediction	3	597
solid	2.94974874371859	prediction	3	598
solid	2.9748743718593	prediction	3	599
solid	3	prediction	3	600
solid	-2	prediction	4	601
solid	-1.9748743718593	prediction	4	602
solid	-1.94974874371859	prediction	4	603
solid	-1.92462311557789	prediction	4	604
solid	-1.89949748743719	prediction	4	605
solid	-1.87437185929648	prediction	4	606
solid	-1.84924623115578	prediction	4	607
solid	-1.82412060301508	prediction	4	608
solid	-1.79899497487437	prediction	4	609
solid	-1.77386934673367	prediction	4	610
solid	-1.74874371859296	prediction	4	611
solid	-1.72361809045226	prediction	4	612
solid	-1.69849246231156	prediction	4	613
solid	-1.67336683417085	prediction	4	614
solid	-1.64824120603015	prediction	4	615
solid	-1.62311557788945	prediction	4	616
solid	-1.59798994974874	prediction	4	617
solid	-1.57286432160804	prediction	4	618
solid	-1.54773869346734	prediction	4	619
solid	-1.52261306532663	prediction	4	620
solid	-1.49748743718593	prediction	4	621
solid	-1.47236180904523	prediction	4	622
solid	-1.44723618090452	prediction	4	623
solid	-1.42211055276382	prediction	4	624
solid	-1.39698492462312	prediction	4	625
solid	-1.37185929648241	prediction	4	626
solid	-1.34673366834171	prediction	4	627
solid	-1.32160804020101	prediction	4	628
solid	-1.2964824120603	prediction	4	629
solid	-1.2713567839196	prediction	4	630
solid	-1.24623115577889	prediction	4	631
solid	-1.22110552763819	prediction	4	632
solid	-1.19597989949749	prediction	4	633
solid	-1.17085427135678	prediction	4	634
solid	-1.14572864321608	prediction	4	635
solid	-1.12060301507538	prediction	4	636
solid	-1.09547738693467	prediction	4	637
solid	-1.07035175879397	prediction	4	638
